Created directory results\ACM_2022-09-26_14-31-44
Downloading C:\Users\lenovo\.dgl/ACM3025.pkl from https://data.dgl.ai/dataset/ACM3025.pkl...
dataset loaded
{'dataset': '细胞因子', 'test': 0.4, 'train': 0.2, 'val': 0.4}
bbbbb
aaaaaaaaaaaaaaaaaaaaaaa
Epoch 79 | Train Loss 0.4477 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.5553 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 80 | Train Loss 0.4325 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5520 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 81 | Train Loss 0.4265 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5485 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 82 | Train Loss 0.3988 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5449 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 83 | Train Loss 0.4077 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5414 | Val Micro f1 0.8313 | Val Macro f1 0.8263
Epoch 84 | Train Loss 0.3967 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5378 | Val Micro f1 0.8313 | Val Macro f1 0.8263
Epoch 85 | Train Loss 0.4040 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5344 | Val Micro f1 0.8313 | Val Macro f1 0.8263
Epoch 86 | Train Loss 0.3978 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5304 | Val Micro f1 0.8313 | Val Macro f1 0.8263
Epoch 87 | Train Loss 0.3984 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5261 | Val Micro f1 0.8375 | Val Macro f1 0.8331
Epoch 88 | Train Loss 0.3767 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5220 | Val Micro f1 0.8438 | Val Macro f1 0.8398
Epoch 89 | Train Loss 0.3385 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5178 | Val Micro f1 0.8500 | Val Macro f1 0.8465
Epoch 90 | Train Loss 0.3928 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5136 | Val Micro f1 0.8562 | Val Macro f1 0.8532
Epoch 91 | Train Loss 0.3965 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5091 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 92 | Train Loss 0.3757 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5046 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 93 | Train Loss 0.3096 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5005 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 94 | Train Loss 0.3694 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4963 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 95 | Train Loss 0.3545 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4921 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 96 | Train Loss 0.3478 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4878 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 97 | Train Loss 0.3210 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4834 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 98 | Train Loss 0.3185 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4788 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 99 | Train Loss 0.3125 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4743 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 100 | Train Loss 0.3024 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4697 | Val Micro f1 0.8625 | Val Macro f1 0.8599
Epoch 101 | Train Loss 0.2914 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4654 | Val Micro f1 0.8688 | Val Macro f1 0.8664
Epoch 102 | Train Loss 0.3088 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4608 | Val Micro f1 0.8688 | Val Macro f1 0.8664
Epoch 103 | Train Loss 0.3735 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.4561 | Val Micro f1 0.8750 | Val Macro f1 0.8730
Epoch 104 | Train Loss 0.2935 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4509 | Val Micro f1 0.8812 | Val Macro f1 0.8796
Epoch 105 | Train Loss 0.3100 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4458 | Val Micro f1 0.9000 | Val Macro f1 0.8990
Epoch 106 | Train Loss 0.2874 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4407 | Val Micro f1 0.9000 | Val Macro f1 0.8990
Epoch 107 | Train Loss 0.2856 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4358 | Val Micro f1 0.9000 | Val Macro f1 0.8990
Epoch 108 | Train Loss 0.2714 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4309 | Val Micro f1 0.9125 | Val Macro f1 0.9118
Epoch 109 | Train Loss 0.2957 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4260 | Val Micro f1 0.9125 | Val Macro f1 0.9118
Epoch 110 | Train Loss 0.2660 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4209 | Val Micro f1 0.9187 | Val Macro f1 0.9182
Epoch 111 | Train Loss 0.2243 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4159 | Val Micro f1 0.9250 | Val Macro f1 0.9246
Epoch 112 | Train Loss 0.2793 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4113 | Val Micro f1 0.9250 | Val Macro f1 0.9246
Epoch 113 | Train Loss 0.2389 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4067 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 114 | Train Loss 0.2355 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.4024 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 115 | Train Loss 0.2335 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3980 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 116 | Train Loss 0.2359 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3937 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 117 | Train Loss 0.2102 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3898 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 118 | Train Loss 0.1866 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3859 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 119 | Train Loss 0.2207 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3822 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 120 | Train Loss 0.2164 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3788 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 121 | Train Loss 0.1595 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3756 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 122 | Train Loss 0.1654 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3725 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 123 | Train Loss 0.1657 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3693 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 124 | Train Loss 0.1657 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3658 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 125 | Train Loss 0.1998 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3625 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 126 | Train Loss 0.1801 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3592 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 127 | Train Loss 0.1642 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3560 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 128 | Train Loss 0.1256 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3532 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 129 | Train Loss 0.1804 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3500 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 130 | Train Loss 0.1273 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3467 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 131 | Train Loss 0.1655 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3434 | Val Micro f1 0.9313 | Val Macro f1 0.9309
Epoch 132 | Train Loss 0.1448 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3399 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 133 | Train Loss 0.1615 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3363 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 134 | Train Loss 0.1422 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3327 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 135 | Train Loss 0.1627 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3294 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 136 | Train Loss 0.1072 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3264 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 137 | Train Loss 0.1192 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3235 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 138 | Train Loss 0.1387 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3205 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 139 | Train Loss 0.0944 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3178 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 140 | Train Loss 0.1222 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3148 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 141 | Train Loss 0.1305 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3120 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 142 | Train Loss 0.1328 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3092 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 143 | Train Loss 0.0939 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3065 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 144 | Train Loss 0.1093 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3040 | Val Micro f1 0.9375 | Val Macro f1 0.9373
Epoch 145 | Train Loss 0.1241 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.3014 | Val Micro f1 0.9375 | Val Macro f1 0.9373
